x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.891784	1.000000	1.672094	0.723792	0.860587	1.065037	0.910037	0.979848	1.020824	1.035242	1.001981	0.882810
0.893788	1.000000	1.675852	0.711985	0.869022	1.064549	0.910913	0.980319	1.023798	1.041126	0.999645	0.878670
0.895792	1.000000	1.679609	0.700118	0.877662	1.063959	0.911899	0.980893	1.026637	1.046623	0.997318	0.877320
0.897796	1.000000	1.683367	0.688190	0.886510	1.063267	0.913000	0.981570	1.029318	1.051658	0.995033	0.878918
0.899800	1.000000	1.687124	0.676202	0.895567	1.062468	0.914218	0.982350	1.031823	1.056158	0.992820	0.883560
0.901804	1.000000	1.690882	0.664154	0.904834	1.061561	0.915556	0.983232	1.034130	1.060050	0.990712	0.891270
0.903808	1.000000	1.694639	0.652046	0.914311	1.060543	0.917017	0.984215	1.036220	1.063267	0.988740	0.901992
0.905812	1.000000	1.698397	0.639877	0.924001	1.059410	0.918604	0.985298	1.038074	1.065745	0.986935	0.915585
0.907816	1.000000	1.702154	0.627648	0.933904	1.058161	0.920320	0.986478	1.039673	1.067427	0.985326	0.931819
0.909820	1.000000	1.705912	0.615359	0.944021	1.056793	0.922169	0.987753	1.041000	1.068260	0.983942	0.950374
0.911824	1.000000	1.709669	0.603010	0.954355	1.055303	0.924153	0.989119	1.042037	1.068201	0.982808	0.970837
0.913828	1.000000	1.713427	0.590600	0.964905	1.053689	0.926276	0.990573	1.042768	1.067217	0.981947	0.992707
0.915832	1.000000	1.717184	0.578130	0.975673	1.051947	0.928540	0.992111	1.043180	1.065284	0.981380	1.015405
0.917836	1.000000	1.720942	0.565600	0.986661	1.050075	0.930950	0.993726	1.043259	1.062390	0.981121	1.038278
0.919840	1.000000	1.724699	0.553010	0.997869	1.048070	0.933509	0.995414	1.042993	1.058536	0.981182	1.060614
0.921844	1.000000	1.728457	0.540359	1.009299	1.045929	0.936220	0.997167	1.042374	1.053738	0.981571	1.081661
0.923848	1.000000	1.732214	0.527648	1.020951	1.043650	0.939087	0.998979	1.041393	1.048025	0.982290	1.100647
0.925852	1.000000	1.735972	0.514877	1.032828	1.041230	0.942113	1.000841	1.040047	1.041445	0.983333	1.116803
